Año,Region,Turistas
2013,Bolivia,273
2014,Bolivia,217
2015,Bolivia,225
2013,Brasil,9749
2014,Brasil,11962
2015,Brasil,8183
2013,Chile,12014
2014,Chile,15017
2015,Chile,11422
2013,Paraguay,116
2014,Paraguay,666
2015,Paraguay,1857
2013,Uruguay,225
2014,Uruguay,739
2015,Uruguay,1673
2013,USA y Canadá,9013
2014,USA y Canadá,8074
2015,USA y Canadá,6280
2013,Resto de América,11326
2014,Resto de América,12894
2015,Resto de América,12276
2013,Europa,6536
2014,Europa,5766
2015,Europa,5912
2013,Resto del mundo,730
2014,Resto del mundo,846
2015,Resto del mundo,720
